Contract,PaymentMethod,TotalCharges
five years,Mailed check,31.6202023
five years,Bank transfer (automatic),31.92427259
five years,Mailed check,33.5673591
five years,Bank transfer (automatic),22.32097319
five years,Credit card (automatic),55.19274755
five years,Credit card (automatic),61.53102297
five years,Bank transfer,65.12985506
five years,Bank transfer,24.99795881
five years,Credit card (automatic),22.16325031
five years,Credit card (automatic),61.53102297
five years,Bank transfer,25.48058148
five years,Bank transfer (automatic),29.34909868
five years,Bank transfer (automatic),33.55473113
five years,Credit card (automatic),27.47314141
five years,Credit card (automatic),26.28018174
five years,Bank transfer (automatic),21.54345842
five years,Credit card (automatic),23.40192325
five years,Credit card (automatic),25.48058148
five years,Credit card (automatic),65.12985506
five years,Credit card (automatic),21.36407789
five years,Mailed check,22.17558911
five years,Bank transfer (automatic),21.64666788
five years,Mailed check,25.0494984
five years,Bank transfer,26.11759863
five years,Credit card,33.69066908
five years,Credit card (automatic),21.79517506
five years,Bank transfer,95.36131071
five years,Credit card (automatic),25.69011033
five years,Bank transfer,95.36131071
five years,Mailed check,20.42587842
five years,Bank transfer (automatic),40.96336127
five years,Bank transfer (automatic),23.63952924
five years,Bank transfer (automatic),32.07037666
five years,Mailed check,23.78246988
five years,Mailed check,24.68172813
five years,Mailed check,60.54594113
five years,Credit card (automatic),24.99795881
five years,Credit card,20.18548801
five years,Mailed check,50.79184563
five years,Bank transfer (automatic),21.62593446
five years,Bank transfer (automatic),22.75744001
five years,Credit card,33.6859431
five years,Credit card (automatic),24.71706557
five years,Bank transfer (automatic),21.13179292
five years,Bank transfer (automatic),103.2682845
five years,Electronic check,43.95425923
five years,Mailed check,39.81210515
five years,Mailed check,30.61333985
five years,Bank transfer (automatic),39.53022984
five years,Bank transfer,26.11759863
five years,Credit card,57.04039266
five years,Credit card,63.33021731
five years,Credit card,20.1656063
five years,Bank transfer (automatic),30.23290371
five years,Bank transfer,57.04039266
five years,Credit card,60.61682621
five years,Bank transfer (automatic),64.10989821
five years,Mailed check,25.04121481
five years,Mailed check,27.96459185
five years,Mailed check,24.06449025
five years,Bank transfer (automatic),24.93380226
five years,Bank transfer,63.33021731
five years,Credit card,60.61682621
five years,Mailed check,21.67226461
five years,Credit card (automatic),25.61390362
five years,Credit card (automatic),21.82760476
five years,Credit card (automatic),22.71744239
five years,Credit card,24.35477292
five years,Electronic check,32.32252422
five years,Mailed check,59.67328949
five years,Credit card (automatic),25.67647418
five years,Credit card (automatic),45.91465124
